,date,co2,co,pm,uv,temperature,humidity
2022-01-16 12:58:43,2022-01-16 12:58:43,1077.5509,8.16288,0.02944,3.80859,32.0,58.0
2022-01-16 13:03:57,2022-01-16 13:03:57,1077.5509,8.03419,0.02356,3.85742,32.0,58.0
2022-01-16 13:09:12,2022-01-16 13:09:12,1077.5509,8.22773,0.04119,3.75977,32.0,58.0
2022-01-16 13:14:26,2022-01-16 13:14:26,1077.5509,8.22773,0.0244,3.61328,32.0,58.0
2022-01-16 13:19:43,2022-01-16 13:19:43,1071.2708,8.22773,0.0244,3.85742,32.0,59.0
2022-01-16 13:24:58,2022-01-16 13:24:58,1071.2708,8.22773,0.0244,4.05273,32.0,59.0
2022-01-16 13:30:13,2022-01-16 13:30:13,1077.5509,8.16288,0.027198333333333335,3.95508,32.0,58.0
2022-01-16 13:35:27,2022-01-16 13:35:27,1019.8683850000001,7.954676666666668,0.02692,4.73633,32.0,58.0
2022-01-16 13:40:41,2022-01-16 13:40:41,1047.4635,8.16288,0.03028,3.61328,32.0,58.0
2022-01-16 13:45:56,2022-01-16 13:45:56,1071.2708,8.22773,0.03112,4.15039,32.0,59.0
2022-01-16 13:51:10,2022-01-16 13:51:10,1071.2708,8.29293,0.0286,3.51563,32.0,59.0
2022-01-16 13:56:25,2022-01-16 13:56:25,1071.2708,8.22773,0.02524,3.56445,32.0,59.0
2022-01-16 14:01:40,2022-01-16 14:01:40,1071.2708,8.22773,0.01516,4.10156,32.0,59.0
2022-01-16 14:06:54,2022-01-16 14:06:54,1077.5509,8.29293,0.01768,4.78516,32.0,58.0
2022-01-16 14:12:09,2022-01-16 14:12:09,1042.9844,7.8437,0.02104,3.85742,33.0,57.0
2022-01-16 14:17:23,2022-01-16 14:17:23,1103.5135,8.35847,0.0328,4.15039,33.0,57.0
2022-01-16 14:22:38,2022-01-16 14:22:38,1109.9791,8.42437,0.03951,4.15039,33.0,56.0
2022-01-16 14:27:52,2022-01-16 14:27:52,1141.3524,7.568683333333333,0.01516,3.66211,33.0,56.0
2022-01-16 14:33:07,2022-01-16 14:33:07,1134.7042,8.49061,0.02692,3.51563,33.0,57.0
2022-01-16 14:38:22,2022-01-16 14:38:22,1134.7042,8.49061,0.03112,3.90625,33.0,57.0
2022-01-16 14:43:41,2022-01-16 14:43:41,1111.2062999999998,8.360825,0.02775833333333334,3.9021120338983053,32.99152542372882,57.021186440677965
2022-01-16 14:49:00,2022-01-16 14:49:00,1111.2062999999998,8.360825,0.02775833333333334,3.89797406779661,32.983050847457626,57.04237288135593
2022-01-16 14:54:19,2022-01-16 14:54:19,1045.0080716666664,8.088576666666667,0.028038333333333335,3.8938361016949155,32.97457627118644,57.063559322033896
2022-01-16 14:59:38,2022-01-16 14:59:38,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8896981355932203,32.96610169491525,57.08474576271186
2022-01-16 15:04:57,2022-01-16 15:04:57,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8855601694915256,32.95762711864407,57.105932203389834
2022-01-16 15:10:16,2022-01-16 15:10:16,1045.0080716666664,8.088576666666667,0.028038333333333335,3.8814222033898305,32.94915254237288,57.1271186440678
2022-01-16 15:15:35,2022-01-16 15:15:35,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8772842372881358,32.940677966101696,57.148305084745765
2022-01-16 15:20:54,2022-01-16 15:20:54,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8731462711864406,32.932203389830505,57.16949152542373
2022-01-16 15:26:13,2022-01-16 15:26:13,1045.0080716666664,8.088576666666667,0.028038333333333335,3.869008305084746,32.92372881355932,57.190677966101696
2022-01-16 15:31:32,2022-01-16 15:31:32,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8648703389830508,32.91525423728814,57.21186440677966
2022-01-16 15:36:51,2022-01-16 15:36:51,1034.3744883333331,8.001410000000002,0.029438333333333334,3.860732372881356,32.90677966101695,57.233050847457626
2022-01-16 15:42:10,2022-01-16 15:42:10,1034.3744883333331,8.001410000000002,0.029438333333333334,3.856594406779661,32.898305084745765,57.25423728813559
2022-01-16 15:47:29,2022-01-16 15:47:29,1034.3744883333331,8.001410000000002,0.029438333333333334,3.852456440677966,32.889830508474574,57.27542372881356
2022-01-16 15:52:48,2022-01-16 15:52:48,1034.3744883333331,8.001410000000002,0.029438333333333334,3.848318474576271,32.88135593220339,57.29661016949152
2022-01-16 15:58:07,2022-01-16 15:58:07,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8441805084745764,32.8728813559322,57.317796610169495
